winename,region,country,vintage,searchrank,rating_100,price
Hundred Acre 'Ark Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2014,513,97,496
Hundred Acre 'Ark Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2013,513,97,517
Hundred Acre 'Ark Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2012,513,97,464
Hundred Acre 'Ark Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2007,513,97,641
M. Chapoutier Ermitage l'Ermite,Rhone,France,2012,518,97,398
Promontory,Napa Valley,USA,2014,524,97,838
Comte Armand Clos des Epeneaux Monopole,Pommard Premier Cru,France,1978,534,97,1116
Henri Jayer Cros Parantoux,Vosne-Romanee Premier Cru,France,1993,553,97,17962
Henri Jayer Cros Parantoux,Vosne-Romanee Premier Cru,France,1991,553,97,13443
Krug Collection Brut,Champagne,France,1988,566,97,969
Pavillon Blanc du Chateau Margaux,Bordeaux,France,1989,570,97,NA
Bollinger Vieilles Vignes Francaises Blanc de Noirs,Champagne,France,2005,591,97,762
Bollinger Vieilles Vignes Francaises Blanc de Noirs,Champagne,France,1992,591,97,1719
Bollinger Vieilles Vignes Francaises Blanc de Noirs,Champagne,France,1990,591,97,1910
Vietti Ravera,Barolo DOCG,Italy,2010,606,97,392
Bryant Family Vineyard Cabernet Sauvignon,Napa Valley,USA,2013,639,97,781
Bryant Family Vineyard Cabernet Sauvignon,Napa Valley,USA,1997,639,97,1005
Meo-Camuzet Richebourg Grand Cru,Cote de Nuits,France,2005,649,97,3545
Meo-Camuzet Richebourg Grand Cru,Cote de Nuits,France,2002,649,97,2636
Domaine des Comtes Lafon Montrachet Grand Cru,Cote de Beaune,France,2010,650,97,2252
Domaine Leroy Romanee-Saint-Vivant Grand Cru,Cote de Nuits,France,2006,670,97,5907
Domaine Comte Georges de Vogue Les Amoureuses,Chambolle-Musigny Premier Cru,France,2010,679,97,1011
Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon,Napa Valley,USA,2015,754,97,528
Hundred Acre 'Kayli Morgan Vineyard' Cabernet Sauvignon,Napa Valley,USA,2007,754,97,723
Il Marroneto Madonna delle Grazie,Brunello di Montalcino DOCG,Italy,2010,759,97,515
Taylor Fladgate Very Old Single Harvest Port,NA,Portugal,1863,822,97,3287
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2010,839,97,582
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2009,839,97,648
Schrader Cellars 'Old Sparky' Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2006,839,97,845
Bond Vecina Napa Valley,NA,USA,2007,875,97,578
Falletto di Bruno Giacosa Asili Riserva,Barbaresco DOCG,Italy,1990,884,97,1001
Chateau La Violette,Pomerol,France,2010,899,97,1347
Chateau La Violette,Pomerol,France,2009,899,97,697
Cockburn's Vintage Port,NA,Portugal,1927,917,97,1310
Cerbaiona di Diego Molinari Brunello di Montalcino DOCG,Tuscany,Italy,2010,937,97,499
Abreu Vineyard Madrona Ranch Cabernet Sauvignon,Napa Valley,USA,2002,955,97,779
Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru,Cote de Beaune,France,2002,979,97,7484
Giuseppe Quintarelli 'Alzero' Cabernet Veneto IGT,NA,Italy,1993,986,97,884
Joseph Drouhin Musigny Grand Cru,Cote de Nuits,France,1979,999,97,1965
Marchesi Antinori Villa Antinori Riserva,Chianti Classico DOCG,Italy,1977,1020,97,34
Chappellet Pritchard Hill Cabernet Sauvignon,Napa Valley,USA,2016,1027,97,272
Clos i Terrasses Clos Erasmus,Priorat DOCa,Spain,2013,1032,97,734
Clos i Terrasses Clos Erasmus,Priorat DOCa,Spain,2012,1032,97,265
Clos i Terrasses Clos Erasmus,Priorat DOCa,Spain,2004,1032,97,1615
Bruno Giacosa Albesani Santo Stefano,Barbaresco DOCG,Italy,1989,1145,97,3474
Bruno Giacosa Albesani Santo Stefano,Barbaresco DOCG,Italy,1964,1145,97,3799
Domaine Bruno Clair Clos-Saint-Jacques,Gevrey-Chambertin Premier Cru,France,2018,1179,97,244
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2014,1201,97,886
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2011,1201,97,827
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2010,1201,97,883
Tusk Estate Cabernet Sauvignon,Napa Valley,USA,2008,1201,97,841
Colgin Cellars Cariad Red,Napa Valley,USA,2014,1270,97,538
Colgin Cellars Cariad Red,Napa Valley,USA,2010,1270,97,587
Torbreck The Laird,Barossa Valley,Australia,2012,1323,97,642
Torbreck The Laird,Barossa Valley,Australia,2005,1323,97,693
E. Guigal Ermitage Ex-Voto,Rhone,France,2009,1327,97,324
Schrader Cellars RBS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2006,1378,97,538
Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Oakville,USA,2002,1385,97,700
Maybach Family Vineyards Materium Cabernet Sauvignon,Oakville,USA,2016,1429,97,341
Maybach Family Vineyards Materium Cabernet Sauvignon,Oakville,USA,2015,1429,97,401
Le Clos du Caillou Chateauneuf-du-Pape La Reserve,Rhone,France,2016,1563,97,203
Le Clos du Caillou Chateauneuf-du-Pape La Reserve,Rhone,France,2010,1563,97,208
Kavalan Solist Vinho Barrique Cask Strength Single Malt Whisky,NA,Taiwan,NA,1578,97,238
Dana Estates Lotus Vineyard Cabernet Sauvignon,Napa Valley,USA,2013,1596,97,588
Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2013,1621,97,563
Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2012,1621,97,630
Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2008,1621,97,765
Schrader Cellars CCS Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2006,1621,97,819
Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon,Napa Valley,USA,2012,1652,97,542
Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon,Napa Valley,USA,2010,1652,97,451
Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon,Napa Valley,USA,2008,1652,97,490
Domaine des Comtes Lafon Genevrieres,Meursault Premier Cru,France,1992,1664,97,656
MacDonald Vineyards Cabernet Sauvignon,Oakville,USA,2015,1684,97,514
MacDonald Vineyards Cabernet Sauvignon,Oakville,USA,2012,1684,97,647
Blandy's Vintage Bual,Madeira,Portugal,1920,1712,97,924
Abreu Vineyard 'Thorevilos' Cabernet Sauvignon,Napa Valley,USA,2014,1727,97,637
Abreu Vineyard 'Thorevilos' Cabernet Sauvignon,Napa Valley,USA,2010,1727,97,574
Abreu Vineyard 'Thorevilos' Cabernet Sauvignon,Napa Valley,USA,2007,1727,97,840
Abreu Vineyard 'Thorevilos' Cabernet Sauvignon,Napa Valley,USA,2002,1727,97,921
Sine Qua Non Cumulus Vineyard 'Next of Kyn',Central Coast,USA,2013,1780,97,441
Sine Qua Non Cumulus Vineyard 'Next of Kyn',Central Coast,USA,2010,1780,97,664
Bodegas Toro Albala Don PX Convento Seleccion,Montilla-Moriles,Spain,1931,1882,97,280
W & J Graham's 'The Stone Terraces' Vintage Port,NA,Portugal,2016,1894,97,291
Realm Cellars The Absurd Proprietary Red,Napa Valley,USA,2015,1942,97,734
Realm Cellars The Absurd Proprietary Red,Napa Valley,USA,2014,1942,97,719
Realm Cellars The Absurd Proprietary Red,Napa Valley,USA,2013,1942,97,968
Leroy Domaine d'Auvenay Les Folatieres,Puligny-Montrachet Premier Cru,France,2004,2003,97,2967
Realm Cellars Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon,St. Helena,USA,2013,2051,97,645
Domaine Leroy Corton-Renardes Grand Cru,Cote de Beaune,France,2009,2090,97,5482
Bond Quella,Napa Valley,USA,2013,2196,97,553
Hundred Acre 'Wraith' Cabernet Sauvignon,Napa Valley,USA,2013,2237,97,587
Colgin Cellars IX Estate Syrah,Napa Valley,USA,2013,2288,97,354
Seppeltsfield Para Vintage Tawny,Barossa Valley,Australia,1915,2332,97,3574
Seppeltsfield Para Vintage Tawny,Barossa Valley,Australia,1914,2332,97,3767
Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve,Napa Valley,USA,2008,2410,97,434
Kapcsandy Family Winery State Lane Vineyard Roberta's Reserve,Napa Valley,USA,2007,2410,97,362
Hundred Acre 'Few and Far Between' Cabernet Sauvignon,Napa Valley,USA,2010,2442,97,732
Schrader Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2012,2471,97,495
Schrader Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2007,2471,97,536
Marques de Murrieta Castillo Ygay Blanco Gran Reserva Especial,Rioja DOCa,Spain,1986,2645,97,542
Sine Qua Non The Hated Hunter,California,USA,2017,2670,97,331
Denis Dubourdieu Chateau Doisy-Daene L'Extravagant de Doisy-Daene,Sauternes,France,2001,2781,97,495
Michel & Stephane Ogier Cote Rotie La Belle Helene,Rhone,France,2010,2890,97,466
Futo Estate Red,Oakville,USA,2012,2913,97,402
Realm Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Oakville,USA,2015,3035,97,430
Realm Cellars Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Oakville,USA,2014,3035,97,359
Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum,Rhone,France,2009,3086,97,571
Clos Saint-Jean Chateauneuf-du-Pape Sanctus Sanctorum,Rhone,France,2007,3086,97,1061
Domaine de la Vieille Julienne Chateauneuf-du-Pape Reserve,Rhone,France,2010,3211,97,244
Avignonesi Occhio di Pernice Vin Santo di Montepulciano,Tuscany,Italy,2001,3477,97,524
Avignonesi Occhio di Pernice Vin Santo di Montepulciano,Tuscany,Italy,1999,3477,97,523
Outpost 'True Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2014,3549,97,413
Outpost 'True Vineyard' Cabernet Sauvignon,Howell Mountain,USA,2013,3549,97,270
Morlet Family Vineyards Passionement Cabernet Sauvignon,Oakville,USA,2013,3645,97,250
Bevan Cellars 'EE - Double E' Red,Oakville,USA,2015,3703,97,253
Weingut Keller Niersteiner Pettenthal Riesling Grosses Gewachs,Rheinhessen,Germany,2016,4232,97,371
Schrader Cellars T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2013,4319,97,405
Schrader Cellars T6 Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Napa Valley,USA,2008,4319,97,479
Immortal Estate Impassable Mountain Reserve Cabernet Sauvignon,Sonoma County,USA,2013,4363,97,368
Abreu Vineyard Cappella Proprietary Red,Napa Valley,USA,2012,4581,97,521
Carter Cellars Beckstoffer To Kalon Vineyard The O.G. Cabernet Sauvignon,Napa Valley,USA,2015,4611,97,275
D'Oliveiras Malvasia Reserva Vintage Madeira,NA,Portugal,1900,4636,97,1841
Avignonesi Vin Santo di Montepulciano,Tuscany,Italy,1990,4979,97,455
Domaine Giraud Chateauneuf-du-Pape Grenaches de Pierre,Rhone,France,2010,5119,97,189
M. Chapoutier Ermitage Vin de Paille,Rhone,France,2009,5548,97,292
Egon Muller Wiltingen Scharzhofberger Riesling Auslese Goldkapsel,Mosel,Germany,2005,5584,97,1011
Egon Muller Wiltingen Scharzhofberger Riesling Auslese Goldkapsel,Mosel,Germany,1994,5584,97,2323
Cantina Terlano-Kellerei Terlan 'Rarity' Alto Adige,Trentino-Alto Adige,Italy,1991,5626,97,386
Comando G Las Umbrias,Madrid,Spain,2015,5898,97,83
Domaine Fontaine-Gagnard Montrachet Grand Cru,Cote de Beaune,France,2008,6036,97,407
Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon,Napa Valley,USA,2017,6323,97,291
Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon,Napa Valley,USA,2016,6323,97,415
Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon,Napa Valley,USA,2015,6323,97,270
Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon,Napa Valley,USA,2013,6323,97,414
Myriad Cellars Beckstoffer Dr. Crane Vineyard 'Elysian' Reserve Cabernet Sauvignon,Napa Valley,USA,2012,6323,97,342
Alban Vineyards Pandora Red,Edna Valley,USA,2012,6423,97,367
Domaine Louis Carillon et Fils Bienvenues-Batard-Montrachet Grand Cru,Cote de Beaune,France,2001,6663,97,NA
Greer Cabernet Sauvignon,Napa Valley,USA,2016,7112,97,225
Alban Vineyards Lorraine Estate Syrah,Edna Valley,USA,2012,7112,97,225
Frank Family Vineyards Winston Hill Red,Rutherford,USA,2015,7140,97,200
Hundred Acre 'Deep Time' Cabernet Sauvignon,Napa Valley,USA,2005,7757,97,472
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,Nahe,Germany,2010,7911,97,440
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,Nahe,Germany,2008,7911,97,377
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,Nahe,Germany,1998,7911,97,850
Andremily Wines Mourvedre,Santa Barbara County,USA,2017,7939,97,144
Morlet Family Vineyards Estate Cabernet Sauvignon,St Helena - Napa Valley,USA,2013,7939,97,203
Buccella Cuvee Katrina Eileen Cabernet Sauvignon,Napa Valley,USA,2013,8035,97,329
Sine Qua Non 'E' Grenache,Sta Rita Hills,USA,2015,8918,97,521
Lokoya Winery Cabernet Sauvignon,Diamond Mountain District,USA,2007,9309,97,398
Bodegas Toro Albala Don PX,Montilla-Moriles,Spain,1961,9661,97,177
Chimere Chateauneuf-du-Pape,Rhone,France,2010,10193,97,992
Weingut Wittmann 'La Borne' Alte Reben Riesling,Rheinhessen,Germany,2015,10298,97,199
Bevan Cellars Tin Box Vineyard Red,Oakville,USA,2013,10706,97,322
Bevan Cellars Tin Box Vineyard Red,Oakville,USA,2012,10706,97,274
